Geneid	GeneSymbol	Entrez	logFC_10vsC	logCPM_10vsC	PValue_10vsC	PAdj_10vsC	logFC_20vsC	logCPM_20vsC	PValue_20vsC	PAdj_20vsC	sig_10vsC	sig_20vsC	up_10vsC	up_20vsC	down_10vsC	down_20vsC	sig_col10	sig_col20
ENSMUSG00000001138	Cnnm3	94218	-0.251036177184738	3.66466916452771	0.0363090102350922	0.115645531597141	-0.250052753384945	3.66466916452771	0.0192573745739669	0.0675155607872087	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001143	Lman2l	214895	0.162931654038597	4.53245039049778	0.0791060468624516	0.204137271210627	0.190198543959727	4.53245039049778	0.0219291615152135	0.0747734746873929	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001150	Mcm3ap	54387	0.0496996735730159	6.20113437989092	0.489610108978699	0.671980713762359	0.0651610190051006	6.20113437989092	0.312643155990905	0.497312241111304	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001151	Pcnt	18541	-0.467597025231867	4.60543466663017	4.64601611121485e-05	0.000566341656259343	-0.21398472419367	4.60543466663017	0.0362111121157923	0.108907432233871	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001156	Mxd1	17119	-0.028929877537669	2.94006250173953	0.856528957018675	0.923757083706185	0.0868608535321782	2.94006250173953	0.538656207973426	0.70210847447165	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001157	Gmcl1	23885	-0.0362151091191056	4.62892680948417	0.710294872425279	0.834913128044308	-0.0407279836597342	4.62892680948417	0.641162451353339	0.781124921570408	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001158	Snrnp27	66618	-0.0140275657024276	4.92999700355016	0.885530818393269	0.940568265114526	-0.0169573359753916	4.92999700355016	0.846009540619358	0.914325415037717	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001166	Oas1c	114643	0.522348757104687	1.26509337659653	0.0213932487068908	0.0780784269308612	0.903186342041425	1.26509337659653	1.08009453303211e-05	0.000151616017669198	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001173	Ocrl	320634	0.102827325322001	6.47242707665592	0.131784192358891	0.290543061351418	0.0764138683601474	6.47242707665592	0.210844563427843	0.380942356356179	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001175	Calm1	12313	-0.0909276362822558	9.29935979141191	0.204108075644271	0.387471225326407	-0.0645805835967041	9.29935979141191	0.312026619079316	0.496868324854515	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001211	Agpat3	28169	-0.130221585937709	6.80305958397411	0.0595573665098926	0.16596699212108	-0.133935933765722	6.80305958397411	0.0296221262522982	0.0936593487871072	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001227	Sema6b	20359	-0.498107556187029	3.3796213426581	0.00300183218566828	0.0172097024383964	-0.423871952773993	3.3796213426581	0.00589552415887558	0.0269906916199257	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001228	Uhrf1	18140	-1.02271294463224	5.37449828147415	9.49951227027332e-09	3.77790075826331e-07	-0.692524017784849	5.37449828147415	1.55636939004693e-05	0.000207670781298799	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Down	NotSig
ENSMUSG00000001229	Dpp9	224897	-0.101941083177598	6.42874163808251	0.187975099492101	0.368328194950001	-0.159992474207199	6.42874163808251	0.0211110054181987	0.0725370697818676	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001240	Ramp2	54409	-0.98565299331567	-1.26472345289408	0.00874642027383332	0.0393300206214749	-1.18988600924225	-1.26472345289408	0.000883939124198648	0.00590007710337726	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	NotSig	Down
ENSMUSG00000001248	Gramd1a	52857	0.134772528596552	5.89699852585554	0.139565377782334	0.302659667040405	0.104281622159965	5.89699852585554	0.200374714152338	0.368534053589898	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001249	Hpn	15451	0.927625279108357	-0.716349784956266	0.0119468021559996	0.0501723599645971	0.807570475462899	-0.716349784956266	0.0196241289292216	0.0685274287110426	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001270	Ckb	12709	0.602126244961028	6.00218186184445	0.00102835944085496	0.00727120783093885	0.483136247727637	6.00218186184445	0.00308638241360971	0.0162000725017381	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001280	Sp1	20683	-0.180495922141102	6.60195374494848	0.00869280041818679	0.0391627770651162	-0.140605160563273	6.60195374494848	0.0223010726346454	0.0757526817777172	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001281	Itgb7	16421	0.77055120322208	1.89233680802122	0.00526464212564695	0.0265721386609929	0.756291784242018	1.89233680802122	0.00442652739800222	0.0216099139593938	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001285	Myg1	60315	-0.482462022800885	4.42355819887125	2.00093919861252e-05	0.000275360402036528	-0.42460323900617	4.42355819887125	2.96242936386901e-05	0.000359716380482023	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001288	Rarg	19411	0.0933160825987163	6.96262705122104	0.275707901680644	0.471780344056823	0.0133463249478196	6.96262705122104	0.861780635614228	0.923225749837172	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001289	Pfdn5	56612	-0.0691396470488677	6.32288492023916	0.451716111150765	0.63980069847515	-0.0537041490808165	6.32288492023916	0.513763486400364	0.681840128917313	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001300	Efnb2	13642	0.155670942488508	6.68093300827251	0.140641639838711	0.304040789206337	0.192103365956268	6.68093300827251	0.0409961050892398	0.119358495256765	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001305	Rrp15	67223	-0.331801686321927	4.31470524860232	0.00402804741503431	0.0216443239010709	-0.38027904553547	4.31470524860232	0.000239566295848923	0.00203247704378588	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001313	Rnd2	11858	0.448608184106379	2.8519734742754	0.00987978951522156	0.0431776685688143	0.252080276963703	2.8519734742754	0.107392271683813	0.23949782571956	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001323	Srr	27364	0.00101799996338991	4.02568125507345	0.992667910397785	0.9963596793439	0.0591109218496967	4.02568125507345	0.547927584992843	0.709620047905872	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
