"","AcoCtrl2","AcoCtrl3","AcoCtrl4","AcoDT1","AcoDT2","AcoDT3","AcoDT4","AcoCtrl1"
"Cdc23",708,802,643,825,899,990,739,833
"Kif20a",168,140,110,472,529,498,315,188
"Brd8",1223,1532,1088,1226,1452,1453,1046,1571
"Brd8dc",10,9,10,3,6,5,9,6
"Nme5",12,7,6,1,3,6,7,16
"Wnt8a",2,0,0,2,0,2,4,0
"Fam13b",785,885,688,721,802,909,668,969
"Pkd2l2",62,83,68,39,60,51,54,58
"Reep5",3591,5209,3622,3035,4156,3319,3262,4223
"Srp19",499,592,427,572,688,586,527,627
"Apc",2671,3405,2441,2582,3082,3114,2577,3873
"Epb41l4a",432,681,414,519,589,526,518,606
"Nrep",831,999,733,434,562,648,578,1068
"Stard4",2695,4717,2320,1561,2254,2091,1519,3062
"Camk4",44,53,38,55,90,94,72,43
"Wdr36",1344,1480,1277,1624,1979,1915,1364,1495
"Tslp",111,152,136,115,130,122,80,150
"Gypc",668,774,606,326,560,535,418,913
"Gm35060",0,0,0,0,0,0,0,0
"Bin1",3677,3347,3142,1211,2300,2133,1598,3381
"Ercc3",1262,1441,1024,1209,1489,1443,1084,1312
"Map3k2",1665,2402,1801,2080,2281,2377,1815,2367
"Proc",0,0,0,2,1,0,0,0
"Iws1",1641,1979,1523,1734,2048,1988,1419,2102
"Myo7b",17,14,16,9,18,7,9,20
"Lims2",231,242,255,94,200,140,134,281
"Gpr17",68,46,44,14,35,38,28,71
"Sft2d3",386,476,314,299,382,364,231,397
"Wdr33",2279,2568,1914,2249,2573,2659,2039,2602
"Polr2d",304,291,209,320,349,355,289,261
"Ammecr1l",1410,1565,1319,1583,1895,1791,1530,1852
"Sap130",788,1113,751,959,1177,1122,953,1145
"Slc25a46",2235,2644,1842,1997,2494,2450,1956,2329
"Syt4",2,0,4,8,3,7,5,12
"Rit2",0,0,0,0,0,2,0,0
"Pik3c3",740,1011,713,679,905,899,728,879
"Celf4",249,244,157,201,248,222,189,317
"AW554918",349,382,272,269,296,332,233,387
"Tpgs2",1441,1560,1063,924,1161,1047,934,1368
"Fhod3",2050,889,985,232,425,942,435,2941
"Mocos",1340,1490,1133,1257,1453,1524,1221,1485
"Elp2",1622,2080,1633,1816,2085,1997,1579,1898
"Slc39a6",4593,4244,3165,2363,2998,3525,2453,4870
"Rprd1a",921,1216,895,695,930,928,677,1067
"2700062C07Rik",289,327,219,261,298,332,223,319
"Gm32436",1,0,0,0,0,0,0,2
"Galnt1",1744,2073,1583,3358,4102,3682,3051,2217
"Ino80c",443,499,385,304,389,328,245,508
"Zfp24",1093,1162,868,819,1016,1000,747,1146
"Zfp35",369,469,381,456,504,538,363,432
"Zscan30",195,261,194,160,166,153,140,216
"Zfp397",256,331,213,188,230,246,211,280
"Mapre2",1819,2469,1876,2332,3159,2750,2424,2386
"Dtna",1006,1127,996,447,815,654,432,1102
"Nol4",0,1,1,0,0,0,0,0
"Asxl3",16,29,11,2,12,30,5,11
"Ccdc178",2,3,0,0,1,0,2,1
"Klhl14",2,1,1,0,0,1,0,0
