"","AcoCtrl2","AcoCtrl3","AcoCtrl4","AcoDT1","AcoDT2","AcoDT3","AcoDT4","AcoCtrl1"
"Flywch2",34,17,16,8,5,9,4,20
"Srrm2",8927,11435,9207,9836,12083,12917,9870,14591
"Elob",2112,2047,1614,2247,2897,2603,2397,2246
"Prss33",17,5,11,2,3,3,7,15
"Prss41",0,0,0,0,0,0,2,0
"Prss32",3,0,0,1,2,1,4,7
"Prss21",1,2,4,7,3,4,2,22
"Dcpp1",0,1,0,0,0,0,0,0
"Dcpp3",0,0,0,0,0,0,0,0
"Dcpp2",0,0,0,0,0,0,0,0
"Sbpl",2,0,0,4,8,0,9,0
"Prss30",11,4,0,1,2,9,3,12
"Prss22",370,343,274,665,1008,1043,834,628
"Prss27",269,406,296,1636,2322,1477,1370,479
"Kctd5",1552,1773,1353,1521,1872,1671,1249,1987
"Pdpk1",3339,4151,3034,3833,4388,4235,3194,3971
"Amdhd2",276,290,239,397,490,551,604,307
"Atp6v0c",5439,5259,3804,6770,8660,7725,7184,5567
"Tbc1d24",1029,1235,943,340,560,477,404,1181
"Ntn3",121,90,63,39,56,63,58,95
"Tedc2",116,137,76,126,157,145,129,155
"Ccnf",284,327,230,527,539,549,498,353
"Abca17",12,27,18,7,2,6,2,17
"Abca3",3451,4753,3242,1824,2283,2453,1860,4507
"Rnps1",2356,2263,1892,3116,3601,3517,2748,2538
"Eci1",1915,1924,1332,744,1068,1139,926,2130
"Dnase1l2",3027,1611,1326,1289,1416,1801,1256,3777
"E4f1",626,575,499,364,462,541,426,721
"Pgp",1623,1484,1231,1616,1888,1696,1453,1388
"Mlst8",458,530,400,425,566,572,385,583
"Bricd5",0,0,0,0,0,0,0,0
"Caskin1",73,89,62,21,57,35,26,74
"Traf7",1707,2105,1492,1921,2309,2307,1875,2110
"Rab26",12,15,18,13,17,25,15,18
"Pkd1",3974,4409,3784,2813,3248,3534,2973,4964
"Tsc2",2722,3826,2804,2226,2635,2560,2139,3825
"Nthl1",265,213,161,220,249,255,173,198
"Slc9a3r2",710,717,635,386,546,592,506,716
"Npw",4,3,0,0,0,0,0,7
"Zfp598",2270,2191,1698,2033,2608,2651,2090,2394
"Syngr3",92,25,15,26,41,51,45,98
"Gfer",506,507,386,431,610,522,505,473
"Noxo1",26,38,14,9,12,19,13,20
"Tbl3",805,680,577,981,1086,1194,892,805
"Rnf151",0,3,3,2,1,1,2,5
"Rps2",13004,15676,10995,18814,21084,18077,16339,15142
"Ndufb10",906,867,623,655,823,861,616,802
"Rpl3l",676,807,668,226,565,506,292,797
"Msrb1",1116,1092,799,1029,1341,1384,1150,984
"Hs3st6",567,738,394,272,371,295,257,489
"Meiob",40,84,43,9,18,12,10,36
"Hagh",347,265,244,172,256,255,214,372
"Fahd1",517,415,327,416,548,494,439,383
"Igfals",79,116,73,98,106,114,124,160
"Nubp2",708,828,568,807,957,918,755,706
"Spsb3",1228,1498,1117,1131,1501,1233,994,1614
"Eme2",335,303,242,151,224,238,183,351
"Mrps34",667,697,561,667,918,830,635,663
"Nme3",483,535,323,286,382,287,306,419
"Mapk8ip3",757,834,615,493,547,683,531,969
"Jpt2",1669,1705,1363,2475,2629,2509,2088,1993
"AY358078",0,2,2,0,2,0,5,0
"Cramp1l",977,1247,890,1028,1261,1252,1087,1189
"Ift140",1073,1174,882,857,980,962,751,1144
"Tmem204",289,273,212,159,218,233,249,372
"Telo2",341,267,217,203,225,269,237,287
"Ptx4",7,11,3,0,4,6,4,10
"Clcn7",1579,2022,1303,1022,1336,1483,1101,1758
"Ccdc154",135,163,109,51,83,109,81,156
"Percc1",14,8,11,4,11,10,6,18
"BC003965",287,280,190,228,297,252,225,264
"Unkl",416,545,332,382,436,481,448,557
"Gnptg",469,468,371,310,360,353,362,440
"Tsr3",241,193,169,164,229,224,171,207
"Baiap3",31,54,34,29,26,34,19,27
"Ube2i",2700,3296,2269,3137,3913,3816,2856,3163
"Prss34",55,35,40,121,193,226,125,60
"Prss28",17,27,11,6,14,11,5,22
"Prss29",3,1,3,19,20,50,15,5
"Tpsg1",11,9,13,3,3,3,4,10
"Cacna1h",48,60,58,29,54,44,19,93
"Tekt4",0,0,0,0,0,0,0,0
"Sstr5",0,0,0,0,0,0,0,0
"Sox8",20,16,17,11,14,15,8,21
"Lmf1",295,313,228,317,391,310,335,366
"Gng13",2,2,3,2,5,6,1,6
"Chtf18",112,105,88,276,258,238,219,97
"Rpusd1",366,327,256,249,382,384,264,329
"Mslnl",1,0,1,1,0,0,2,2
"Msln",84,25,23,6,12,85,21,135
"Ciao3",702,809,465,557,664,650,573,672
"Haghl",56,84,45,18,26,30,23,53
"Ccdc78",54,120,73,4,10,6,5,73
"Antkmt",426,406,306,242,308,286,262,345
"Metrn",132,100,109,28,47,72,60,63
"Fbxl16",20,28,29,20,18,14,10,26
"Wdr24",629,615,508,606,761,688,591,729
"Jmjd8",393,445,330,270,396,369,354,352
"Stub1",909,953,727,763,1001,922,750,955
"Rhbdl1",106,74,73,40,62,71,65,78
"Rhot2",877,775,638,953,1156,1066,774,888
"Wdr90",279,182,166,261,276,314,281,272
"Mcrip2",234,253,194,148,273,201,191,249
"Mettl26",241,244,200,127,199,201,183,261
"Wfikkn1",88,104,103,48,56,71,56,144
"Rab40c",1316,1274,876,785,1007,1050,839,1366
"Pigq",1128,1099,837,1445,1617,1553,1142,1268
"Nhlrc4",18,16,11,39,27,27,23,36
"A930017K11Rik",5,3,0,10,6,12,7,9
"Capn15",1093,1304,916,1056,1232,1079,944,1406
"Rab11fip3",1576,1465,1109,958,1277,1224,1044,1676
"Decr2",556,756,513,400,536,605,444,615
"Nme4",151,136,95,122,154,137,137,174
"Pgap6",235,207,170,208,346,383,330,210
"Mrpl28",524,521,363,533,630,624,470,429
"Axin1",1821,2224,1646,1587,1974,1996,1547,2161
"Pdia2",13,2,7,1,2,3,1,10
"Arhgdig",30,8,6,1,1,14,4,30
"Rgs11",10,15,7,5,9,8,2,20
"Fam234a",2474,3104,2273,2143,2653,2395,2054,3259
"Luc7l",754,871,714,718,905,1026,814,906
"Hba-a2",2,3,2,0,1,0,4,2
"Hbq1b",0,0,0,0,0,1,0,0
"Hbq1a",0,0,0,0,0,0,0,0
"Hba-a1",3,1,3,1,7,5,1,4
"Hba-x",0,0,1,0,0,0,0,0
"Nprl3",366,471,281,313,378,393,347,408
"Mpg",469,511,360,452,503,459,389,406
"Rhbdf1",1964,2415,1708,1705,2181,2065,1553,2238
"Snrnp25",1055,1418,980,945,1181,939,872,1129
"Il9r",124,178,85,114,130,114,108,78
"Nsg2",220,78,90,22,31,67,37,332
"4930524B15Rik",2,4,1,3,3,1,3,1
"Cpeb4",2450,3321,2621,3098,4607,3429,3107,4154
"Bod1",892,943,760,825,1139,993,799,879
"Stc2",133,142,80,46,96,115,145,152
"Nkx2-5",0,0,0,0,0,0,0,0
"Bnip1",665,706,531,468,674,613,469,665
"Crebrf",1435,2280,1393,1014,1531,1665,1199,1828
"Atp6v0e",1533,1843,1180,1343,1917,1794,1583,1888
"Ergic1",1598,2159,1564,1746,2467,2231,1906,1907
"Dusp1",4403,5607,3394,2163,3964,2629,2574,4304
"Neurl1b",1193,1483,1095,1010,1090,1204,820,1202
"Sh3pxd2b",2108,2607,2037,2080,2342,2405,2446,2602
"Ubtd2",954,1053,903,642,771,833,642,1121
"Efcab9",0,1,3,2,2,8,1,1
"Stk10",1184,1730,1279,1327,1938,1928,1625,1825
"Fbxw11",2940,3472,2617,2857,3522,3305,2730,3472
"Smim23",0,0,0,0,0,0,0,0
"Fgf18",198,265,165,87,105,114,89,267
"Npm1",6549,6638,4954,11556,12990,12618,9697,7969
"Tlx3",0,1,0,0,0,0,0,0
"Ranbp17",59,111,56,15,14,29,26,120
"Gabrp",311,120,136,6,13,247,57,493
"Kcnip1",3,1,9,14,5,11,7,5
"Kcnmb1",29,46,34,12,25,21,11,49
"Lcp2",276,499,302,627,908,982,784,369
"Foxi1",0,0,0,0,0,0,0,0
"Dock2",336,544,353,789,1132,1454,1024,485
"Insyn2b",13,26,16,43,42,66,55,23
"Spdl1",109,88,58,263,265,230,139,101
"Slit3",2960,2906,2473,1827,2445,2965,2667,3864
"Pank3",1365,1690,1425,1570,1867,1774,1388,2000
"Fbll1",24,19,25,24,28,29,35,18
"Rars",2138,1524,1260,2025,2449,2602,1777,2446
"Wwc1",729,871,637,733,738,740,457,808
"Tenm2",1557,2959,1963,1429,1405,1462,1377,2655
"Mat2b",1490,2044,1389,1045,1375,1311,1084,1626
"Hmmr",205,184,148,530,512,578,371,200
"Nudcd2",458,609,329,490,586,537,422,521
"Ccng1",5629,6609,5370,2898,4499,3999,3146,5988
"Gabrg2",0,0,0,0,0,0,0,0
"Gabra1",17,7,27,6,3,4,3,22
"Gabra6",0,0,0,0,0,0,0,0
"Gabrb2",7,13,4,11,3,9,8,20
"Atp10b",1264,2513,1469,1176,1464,1343,730,2197
"Pttg1",207,188,146,366,481,390,271,194
"Slu7",927,1286,846,936,1120,1167,936,1208
"C1qtnf2",126,148,115,54,99,80,65,129
"Ccnjl",34,30,52,17,26,30,27,37
"Fabp6",0,0,0,0,0,0,0,0
"Pwwp2a",948,1315,900,672,882,870,714,1144
"Ttc1",498,583,360,393,614,522,407,593
"Adra1b",41,31,28,5,17,7,8,23
"Il12b",5,1,2,1,2,6,0,1
"Ublcp1",1025,948,766,871,1123,1106,746,1019
"Rnf145",3017,2962,2416,2686,3203,3184,2362,3544
"Ebf1",1018,1142,964,555,816,781,718,1311
"Gm6829",0,0,0,0,0,0,0,1
"Clint1",3023,4069,2927,4159,5157,4761,3719,3906
"Lsm11",332,452,314,382,460,460,392,348
"Thg1l",236,345,254,251,351,318,225,252
"Sox30",22,54,33,13,5,15,10,25
"Adam19",1278,1448,1119,1852,2334,2518,2135,1336
"Nipal4",1054,1935,1338,1857,2537,2057,1247,1935
"Cyfip2",991,675,751,475,605,941,578,1114
"Fndc9",2,6,9,6,12,6,7,8
"Itk",90,153,92,252,411,465,336,104
"Fam71b",0,0,0,3,3,0,3,4
"Med7",503,561,491,597,702,615,596,603
"Havcr2",138,264,171,251,405,367,414,162
"Dppa1",1,0,0,0,0,0,1,0
"Gm12169",0,2,0,0,0,0,0,0
"Havcr1",0,0,0,0,0,0,0,0
"Timd2",1,0,0,0,0,0,0,0
"Timd4",193,86,158,73,85,62,94,153
"Sgcd",1535,2305,2051,733,1377,1330,804,2476
"Rack1",23608,26783,18920,20110,25527,24183,19694,23814
"Trim41",1179,1254,974,905,1231,1145,976,1348
"Trim7",1376,1821,1364,1228,1689,1282,1038,1427
"Irgm1",117,173,93,233,1758,2353,827,153
"Gm5431",8,20,14,11,27,43,25,18
"9930111J21Rik2",2,3,2,2,5,10,7,4
"Gm12185",0,4,0,0,0,4,0,8
"9930111J21Rik1",15,27,12,16,1,29,14,23
"Tgtp1",105,144,122,130,1312,1599,533,92
"Ifi47",305,411,270,480,1561,2454,1066,333
"Olfr1396",0,0,0,0,0,0,0,0
"Olfr56",0,0,0,0,0,0,3,0
"Olfr1395",0,0,0,0,0,0,0,0
"Olfr1394",0,0,0,0,0,0,0,0
"Btnl9",336,271,255,69,101,72,58,299
"Zfp62",975,1263,848,623,793,856,600,1081
"Mgat1",2705,2830,2100,2671,3038,3056,2590,2553
"Olfr1393",5,15,9,7,17,10,6,12
"Olfr1392",0,0,0,0,0,0,0,0
"Olfr10",0,0,0,0,0,0,0,0
"Olfr1391",0,0,1,0,1,0,2,0
"Olfr1390",0,1,0,0,0,0,0,0
"Olfr1389",0,0,0,0,0,0,0,0
"Olfr1388",0,0,0,0,0,0,0,0
"Olfr1387",0,0,1,0,0,0,0,0
"Olfr1386",0,0,0,1,0,0,0,0
"Olfr1385",0,0,0,0,0,0,0,0
"Olfr1384",0,0,0,0,0,0,0,0
"Olfr1383",0,0,0,0,0,0,0,0
"Olfr1382",0,0,0,0,0,0,0,0
"Olfr1381",0,0,0,0,0,0,0,0
"Olfr1380",0,0,0,0,0,0,0,0
"1700024J04Rik",0,0,0,0,0,0,0,0
"Flt4",359,545,370,699,834,816,649,572
"Scgb3a1",0,2,0,6,1,2,3,1
"Cnot6",3821,4219,3304,6095,7007,6297,5193,4651
"Gfpt2",868,594,683,403,657,666,725,786
"Mapk9",972,1207,925,769,1056,1002,675,1074
"Rasgef1c",9,6,23,26,39,16,25,18
"Rnf130",1221,1536,1078,794,1150,1309,1032,1311
"Tbc1d9b",2708,3414,2406,2420,3238,3131,2608,3349
"Mrnip",120,146,87,106,88,132,109,122
"Sqstm1",5573,6653,4713,3703,5553,5303,4437,5499
"Mgat4b",2393,2740,1993,1807,2342,2033,1885,2087
"Ltc4s",130,132,114,47,114,99,73,104
"Maml1",1606,1880,1335,1501,1792,1904,1559,1920
"Canx",12633,15782,11092,14136,17369,15875,12917,14506
"Cby3",63,81,60,27,32,46,34,62
"Hnrnph1",3266,3554,2699,3789,4600,4579,3495,3805
"Rufy1",1098,1178,861,947,1235,1122,921,1275
"Adamts2",2669,2091,1914,960,1215,1111,1150,2428
"Zfp354c",356,434,312,193,195,278,225,462
"Zfp879",19,21,13,13,16,11,9,19
"Grm6",1,0,0,0,2,0,1,0
"Zfp454",2,6,1,0,0,4,1,2
"Zfp2",534,564,428,364,451,401,294,581
"Zfp354b",60,94,72,46,56,67,56,90
"Prop1",0,0,1,0,0,0,0,0
"Olfr1378",1,2,1,0,0,0,0,1
"Olfr1377",0,0,0,0,0,0,0,0
"Olfr51",0,0,0,0,0,0,1,2
"Olfr54",0,0,0,0,0,0,0,0
"Zfp354a",112,104,88,45,82,78,60,138
"Clk4",642,909,661,582,795,776,706,985
"Col23a1",666,949,625,586,747,671,706,618
"Phykpl",129,183,106,122,148,168,126,157
"Hnrnpab",6467,5353,4295,8095,9166,9280,6746,5499
"Nhp2",722,592,499,844,897,939,720,707
"Rmnd5b",699,687,524,695,804,721,639,634
"N4bp3",1411,1272,1050,575,813,842,688,1435
"0610009B22Rik",318,503,317,403,421,408,356,464
"Sec24a",2003,3192,2378,3309,3876,3253,2873,3007
"Sar1b",3013,4171,2892,2333,3333,2864,2360,3555
"Jade2",1210,1531,1084,1087,1635,1713,1684,1324
"Cdkn2aipnl",1485,1732,1288,1960,2471,2201,1721,1600
"Ube2b",3027,3923,2960,2467,3284,2850,2439,3489
"Cdkl3",73,59,53,50,68,68,35,71
"Ppp2ca",5985,6290,4903,6478,7498,7359,5690,7426
"Skp1",5645,5596,4141,5539,6690,5728,4916,6521
"Tcf7",794,667,629,622,778,1010,668,1171
"Vdac1",8552,10644,8015,8083,11506,8874,7363,9739
"9530068E07Rik",1410,1669,1224,1687,2021,1901,1633,1547
"Fstl4",28,52,25,14,11,22,13,33
"Hspa4",4995,4875,4039,5791,6867,7195,5158,5596
"Zcchc10",204,187,154,193,231,213,187,209
"Aff4",4876,6729,5065,5662,6530,6579,5056,7030
"Leap2",2,2,4,4,5,0,2,11
"Uqcrq",2712,2959,1969,2395,3437,2862,2445,2548
"Gdf9",3,8,3,15,13,13,8,10
"Shroom1",28,46,23,13,16,26,6,30
"Sowaha",300,294,243,40,115,50,36,317
"Septin8",3984,5575,3884,4235,5420,4724,3608,5170
"Kif3a",528,665,418,505,630,619,474,664
"Il4",1,1,4,59,108,59,93,3
"Il13",26,32,7,89,129,58,97,13
"Rad50",708,990,664,720,805,786,628,900
"Il5",6,9,7,5,10,15,1,4
"Irf1",864,901,636,736,1645,2381,1419,807
"Slc22a21",28,16,18,8,22,15,19,26
"Slc22a4",76,49,53,44,48,67,49,96
"Pdlim4",593,294,296,147,228,406,286,613
"P4ha2",560,433,389,309,369,338,299,513
"Csf2",3,1,0,12,12,17,19,3
"Il3",0,1,2,4,11,7,24,1
"Acsl6",323,403,370,41,209,82,55,379
"Meikin",2,5,6,0,1,1,0,1
"Fnip1",1658,2333,1581,1613,1973,2135,1635,1985
"Rapgef6",1987,2970,1957,2593,2951,3051,2311,2802
"Cdc42se2",1213,1236,1032,1485,1654,1795,1378,1217
"Lyrm7",172,206,153,202,251,193,167,160
"Hint1",2903,3363,2494,3490,4320,3715,2962,3030
"Gpx3",8861,6261,5154,4537,5124,5587,7131,6245
"Tnip1",2161,2992,1949,1664,2071,2111,1841,2591
"Anxa6",4651,5508,4210,4978,6620,6725,5411,5365
"Ccdc69",215,380,258,212,350,291,221,330
"Gm2a",4387,5338,3485,5592,7875,7094,5238,5194
"Slc36a3",17,7,6,2,3,22,3,19
"Slc36a2",255,273,260,124,244,251,181,353
"Slc36a1",1418,2029,1498,1201,1435,1370,1159,1953
"Fat2",5562,8579,6064,7694,6943,7098,6032,8260
"Sparc",26484,24634,18439,13212,18255,16030,15988,28227
"Atox1",1337,1373,856,1566,2004,1876,1593,1819
"G3bp1",3429,3439,2751,3378,3781,3725,3097,3448
"Glra1",0,0,0,0,0,1,1,0
"Nmur2",1,2,4,0,0,0,0,4
"Gria1",7,4,4,6,8,7,2,7
"Fam114a2",958,1063,680,619,776,785,610,1048
"Mfap3",951,1046,744,782,977,1044,803,1113
"Galnt10",1122,1019,822,1091,1279,1373,1303,1122
"Sap30l",568,634,485,299,469,462,354,507
"Hand1",9,14,8,1,3,1,2,11
"Larp1",6861,6917,5802,8006,8822,9754,6656,7910
"Gm12248",128,207,120,56,73,56,75,173
"Cnot8",868,1002,700,831,1027,1011,893,907
"Gemin5",1095,1054,867,1334,1464,1555,1111,1138
"Mrpl22",252,248,207,277,376,413,273,268
"Gm12250",180,311,142,94,354,364,184,180
"Igtp",484,504,393,369,2273,2638,926,484
"Irgm2",781,1159,757,898,1904,2158,1251,957
"4930438A08Rik",2734,3289,2191,2360,2582,3273,2599,3729
"Zfp692",421,326,260,243,289,315,246,378
"Zfp672",1263,1534,1100,1105,1327,1277,987,1388
"Sh3bp5l",2215,1716,1388,1341,1677,1704,1298,2446
"Lypd8",0,7,3,2,2,9,1,0
"1810065E05Rik",0,0,1,3,1,0,2,0
"Gm12253",5,3,1,3,4,5,7,0
"Lypd9",0,0,0,0,0,0,0,0
"Olfr30",0,0,0,0,0,0,0,0
"Olfr332",0,0,0,0,0,0,0,0
"Olfr330",0,0,0,0,0,0,0,0
"Olfr331",0,0,0,0,0,0,0,0
"Olfr224",0,0,0,0,0,0,0,0
"Olfr329",0,0,0,0,0,0,0,0
"Olfr328",0,0,0,0,1,0,1,0
"Olfr325",0,0,0,0,0,0,0,0
"Olfr324",0,0,1,0,0,0,1,2
"Lypd8l",2,1,1,3,0,3,1,8
"Olfr323",0,1,0,0,0,0,0,0
"Trim58",1,3,0,5,3,1,1,4
"Olfr317",0,0,0,0,0,0,0,0
"Olfr322",0,0,0,0,0,0,0,0
"Olfr316",0,0,0,0,0,0,0,0
"Olfr318",0,0,0,0,0,0,0,0
"Olfr315",0,0,0,0,0,0,0,0
"Olfr314",0,0,0,0,2,0,0,0
"Fam183b",2,1,1,1,0,1,1,2
"Olfr313",0,0,0,0,0,0,0,0
"Olfr311",0,0,0,0,0,0,0,0
"Gm12258",222,264,196,164,229,192,202,242
"2810021J22Rik",185,229,178,91,161,128,109,227
"Zfp39",334,450,265,228,324,324,229,424
"Btnl10",1,10,6,5,4,4,4,14
"Rnf187",2843,2732,2111,1752,2222,1988,1789,2473
"H2bu2",32,9,23,6,15,20,9,56
"H2aw",0,0,0,0,0,0,0,0
"Trim17",81,47,47,35,33,32,31,70
"H3f4",1,0,4,3,2,3,0,0
"Trim11",674,828,565,501,632,713,549,736
"Obscn",10010,13804,12670,4592,9793,7314,5641,15585
"Iba57",521,447,331,303,397,358,214,420
"Gjc2",57,50,51,54,107,81,65,58
"Guk1",1082,1007,666,608,754,680,667,854
"Mrpl55",402,387,303,319,406,360,307,393
"2310033P09Rik",507,540,404,331,423,470,369,501
"Arf1",10753,11517,8536,12444,15280,14753,11463,12179
"Wnt3a",202,247,209,301,379,271,244,290
"Wnt9a",483,312,281,83,168,139,120,380
"Prss38",1,1,2,0,0,0,0,1
"Jmjd4",761,642,495,476,581,681,427,815
"Zfp867",106,242,161,97,114,106,103,203
"Snap47",306,280,208,156,209,221,171,290
"Zkscan17",1707,2025,1426,1089,1497,1675,1328,1864
"Nlrp3",94,135,58,471,616,832,550,100
"Olfr222",1,0,0,0,1,2,3,1
"Olfr225",2,0,2,0,0,3,2,1
"Mprip",10621,11989,9394,8431,10386,10025,7854,13348
"Pld6",50,66,49,28,24,42,30,70
"Flcn",891,913,711,532,745,786,647,894
"Cops3",889,1124,808,1050,1320,1171,999,1222
"Nt5m",89,105,68,63,76,68,79,91
"Med9",422,439,356,391,415,393,307,400
"Rasd1",773,1334,808,398,553,531,414,825
"Pemt",323,328,232,159,229,148,199,244
"Rai1",1012,1375,1085,798,937,962,858,1360
"Srebf1",6287,8539,6072,5070,6396,6499,4787,8058
"Tom1l2",2663,3504,2506,2116,2686,2427,1823,3400
"Drc3",14,17,18,11,13,14,12,21
"Atpaf2",582,733,558,551,788,708,522,739
"Gid4",1953,2933,1800,1171,1610,1583,1192,2213
"Drg2",902,864,700,1048,1178,1218,927,954
"Myo15",15,16,12,11,15,9,6,21
"LOC118567927",22,14,5,11,19,11,3,12
"Alkbh5",3382,3786,2916,2669,3735,3379,2748,3375
"Llgl1",2750,2641,2048,2174,2685,2619,2239,2841
"Flii",3245,3708,2917,3407,4650,4530,3632,4238
"Mief2",895,820,679,389,625,490,440,760
"Top3a",849,914,672,841,998,1080,832,814
"Smcr8",1148,1278,1002,1159,1475,1508,1203,1332
"Shmt1",638,546,516,870,976,1015,683,715
"Dhrs7b",883,865,647,547,777,707,562,879
"Tmem11",682,969,687,646,864,750,688,915
"Natd1",1656,2209,1593,1395,2062,2011,1416,2479
"Map2k3",3681,3921,2962,2765,3860,3665,2827,3919
"Kcnj12",1577,1480,1327,290,677,324,274,1250
"Tnfrsf13b",13,13,8,2,6,5,9,17
"Usp22",3404,3920,2958,2764,3238,3316,2769,4244
"Aldh3a1",1559,4184,1904,793,1039,1328,661,2664
"Aldh3a2",1559,2083,1453,1628,1787,1866,1595,2074
"Slc47a2",14,14,15,2,4,3,2,17
"Slc47a1",103,105,92,10,37,13,17,101
"Rnf112",43,27,29,24,25,18,5,37
"Mfap4",2255,3276,2132,1629,2706,2176,2335,3040
"Mapk7",434,459,329,452,531,553,478,431
"B9d1",104,106,93,94,102,99,69,131
"Epn2",2303,3016,2174,1911,2204,2268,1693,2831
"Grap",299,402,208,161,285,248,174,296
"Slc5a10",190,249,120,100,157,185,90,198
"Fam83g",5653,4514,3626,3857,4389,5405,3238,7225
"Prpsap2",645,717,583,535,709,725,531,791
"Ulk2",3242,3665,2856,1825,2468,2279,2026,3682
"Akap10",1126,1382,1018,1079,1208,1256,1015,1395
"Specc1",605,604,458,728,722,849,669,888
"Adora2b",369,591,423,887,1097,618,993,420
"Zswim7",176,221,130,207,221,193,192,212
"Ttc19",702,880,687,761,1069,833,749,930
"Ncor1",6941,10383,7437,7555,9706,9548,7250,10878
"Pigl",505,601,390,290,394,412,363,530
"Cenpv",214,204,153,207,279,264,222,214
"Ubb",12582,13881,9552,10257,14394,14047,12757,13477
"Trpv2",380,397,341,455,563,710,751,342
"Lrrc75a",158,190,142,85,156,136,140,200
"Mmgt2",78,52,54,38,49,73,41,46
"Zfp287",124,166,113,100,121,131,106,140
"Zfp286",80,99,62,46,24,34,31,126
"Trim16",954,844,892,666,995,883,682,898
"Fbxw10",56,90,57,20,28,34,17,82
"Tvp23b",1024,1168,885,899,1123,1069,847,1160
"Cdrt4",1,0,3,0,2,0,0,0
"Tekt3",3,2,1,4,4,2,2,3
"Pmp22",2533,2287,2092,1374,2172,2192,1805,2714
"Gm29958",0,0,0,0,0,1,0,0
"Hs3st3b1",1059,1618,1250,1207,1859,1714,1464,1360
"Cox10",523,483,383,439,583,522,379,445
"Hs3st3a1",45,54,54,13,19,28,16,53
"Elac2",1170,1004,941,1359,1417,1554,1058,1275
"Arhgap44",800,880,756,249,471,378,267,847
"Myocd",177,309,272,89,117,102,117,329
"Map2k4",3547,5055,3466,5199,6121,5278,4228,4712
"Zkscan6",1080,1373,940,1566,1820,1507,1224,1216
"Dnah9",48,62,43,5,4,13,5,56
"Shisa6",2,2,3,1,0,2,0,3
"Pirt",35,60,39,20,20,45,25,79
"Tmem220",64,83,54,40,61,53,40,73
"Adprm",69,71,61,69,73,93,66,86
"Sco1",684,753,542,806,877,836,600,719
"Myh3",45,35,34,13,26,47,12,29
"Myh2",4772,6498,7001,1444,3909,3074,1368,6589
"Myh1",15982,17840,12742,4295,11957,6321,5753,15679
"Myh4",68762,77533,92052,23172,52565,45051,26716,104852
"Myh8",29,19,19,37,183,85,48,16
"Myh13",21,15,14,59,381,140,86,11
"Gas7",5584,9231,6629,3823,4919,5100,3332,9781
"Glp2r",14,19,16,10,11,12,15,26
"Rcvrn",2,4,5,2,2,5,1,8
"Gsg1l2",0,3,2,1,1,0,0,3
"Dhrs7c",1403,1482,1143,298,726,542,425,1334
"Usp43",161,127,126,118,122,175,132,182
"Cfap52",5,10,5,7,7,2,6,10
"Stx8",376,402,311,354,445,392,402,447
"Ntn1",1593,1631,1320,893,1231,1243,949,1669
"Pik3r5",430,511,355,554,735,1026,915,412
"Pik3r6",141,134,100,116,145,200,124,124
"Mfsd6l",2,3,0,1,0,1,0,3
"Ccdc42",3,2,2,0,0,0,2,3
"Myh10",794,787,733,245,415,414,397,1059
"Ndel1",2476,2830,2153,2923,3701,3002,2940,3022
"Rnf222",1407,1062,871,720,1191,1058,705,1871
"Rpl26",4571,5151,3636,4310,5299,5526,4188,5334
"Odf4",10,9,7,6,1,1,2,15
"Arhgef15",243,248,225,171,261,240,237,271
"Slc25a35",625,857,601,252,199,358,280,751
"Rangrf",0,0,0,0,0,0,0,0
"Pfas",917,831,690,1336,1277,1379,1077,969
"Ctc1",164,179,112,188,216,198,172,207
"Aurkb",369,288,228,818,707,723,602,341
"Borcs6",1399,1218,894,715,824,912,793,1121
"Tmem107",108,152,84,83,119,111,86,114
"Vamp2",2439,2955,2068,1100,1463,1618,1140,2777
"Per1",2242,3311,2529,1678,3325,3353,2779,2566
"Hes7",5,4,6,4,8,7,7,8
"Aloxe3",1284,1918,1322,1149,1559,1213,1027,2087
"Alox12b",1704,2831,1927,1295,2136,1749,915,2638
"Alox8",832,124,305,37,31,245,108,1203
"Gucy2e",229,152,110,25,13,86,53,262
"Cntrob",445,413,289,365,458,484,392,396
"Trappc1",746,709,450,563,703,711,607,774
"Kcnab3",74,39,40,13,16,29,19,45
"Chd3",2919,3109,2240,1537,1856,2208,1623,3399
"Cyb5d1",338,245,225,259,297,355,232,329
"Naa38",103,138,107,96,128,115,119,153
"Tmem88",111,139,119,83,154,115,104,110
"Kdm6b",2831,3390,2548,2960,4000,4456,3646,3901
"Dnah2",27,27,22,9,31,24,29,50
"Efnb3",13,7,13,2,5,11,2,16
"Wrap53",253,209,150,215,288,282,214,215
"Trp53",3757,3629,2643,3767,4672,4518,3546,3574
"Atp1b2",506,662,737,183,403,218,207,888
"Shbg",0,0,0,1,0,0,0,0
"Sat2",330,364,253,148,233,159,153,399
"Fxr2",1913,2074,1650,1640,2153,2088,1711,2052
"Sox15",66,77,71,408,473,392,322,71
"Mpdu1",1307,1483,1018,1236,1498,1386,1224,1413
"Cd68",408,523,363,760,979,874,1163,435
"Eif4a1",13586,12365,10017,16942,19401,18703,14917,14608
"Senp3",1767,1714,1373,1690,2010,2026,1579,2072
"Tnfsf13",65,84,46,40,41,63,40,54
"Tnfsfm13",0,0,0,0,0,0,0,0
"Tnfsf12",292,252,181,143,186,220,154,259
"Polr2a",3016,3801,3049,3776,4210,4249,3559,4068
"Slc35g3",30,17,11,17,19,24,9,28
"Zbtb4",2399,3094,2242,1083,1634,1491,1164,2867
