Geneid	GeneSymbol	Entrez	logFC_DTvsC	logCPM_DTvsC	PValue_DTvsC	PAdj_DTvsC	sig	up	down	sig_col
ENSMUSG00000069792	Wfdc17	100034251	-0.784037037849281	4.4404066148113	0.0386264769670206	0.0547569413660555	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069793	Slfn9	237886	0.794135236304056	4.88076948884739	7.19992358812651e-13	3.51899453057222e-12	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069804	Gm10277	791303	-1.12573399460161	0.078200570265726	0.000116180375392221	0.000242052193774507	TRUE	FALSE	TRUE	Down
ENSMUSG00000069805	Fbp1	14121	5.02665095177298	5.39784648042945	1.18784236579484e-11	5.23124514233955e-11	TRUE	TRUE	FALSE	Up
ENSMUSG00000069806	Cacng7	81904	-1.06138727176416	1.138884850064	0.000198955542051638	0.000401377292986486	TRUE	FALSE	TRUE	Down
ENSMUSG00000069808	Tlcd3a	116972	0.501302990753853	7.22016578008583	3.44072016511399e-05	7.63636043615099e-05	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069814	Ccdc92b	432582	0.638089579957125	0.2558280009119	0.0291129014386017	0.0421325410699009	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069830	Nlrp1a	195046	-1.49235561143404	-0.345055045808489	4.76309164807423e-05	0.000103860988412511	TRUE	FALSE	TRUE	Down
ENSMUSG00000069833	Ahnak	66395	-0.383430305008866	12.142374002088	0.0019927765944653	0.0034911540020896	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069835	Sat2	69215	-0.659185556788651	0.942661364652955	0.0133004085330004	0.0204548422184006	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069844	Sco1	52892	0.0665975160916986	3.91437598914753	0.592435308298858	0.644343925787901	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069873	4930438A08Rik	73988	2.40413846233443	6.30799671810409	4.69284707457274e-106	3.58105321234332e-104	TRUE	TRUE	FALSE	Up
ENSMUSG00000069874	Irgm2	54396	-1.03915650286667	4.82155789027881	1.04715661043429e-12	5.03919392972434e-12	TRUE	FALSE	TRUE	Down
ENSMUSG00000069892	9930111J21Rik2	245240	-1.07508389410518	2.97270954022535	8.44450137290857e-11	3.46463077884026e-10	TRUE	FALSE	TRUE	Down
ENSMUSG00000069893	9930111J21Rik1	667214	-1.37155247048591	1.92525455616916	1.96444550595606e-11	8.49327758045077e-11	TRUE	FALSE	TRUE	Down
ENSMUSG00000069895	Atxn1l	52335	0.304179014871521	6.09582032313556	0.0144111553633181	0.0220406688520536	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069899	Gm12166	100039624	-0.178805445879882	-0.851575078891251	0.642718607163246	0.690909985459373	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069910	Spdl1	70385	0.990318302550197	2.75939821210093	3.01299201046026e-09	1.06176068740608e-08	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069911	Insyn2b	574403	-2.06210207853737	0.777435498248789	5.68868672242506e-13	2.80103965021221e-12	TRUE	FALSE	TRUE	Down
ENSMUSG00000069920	B3gnt9	97440	-0.559789768264064	3.54069017704233	0.000221178216798397	0.000442650482470953	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069972	Rps13-ps2	100039924	0.874518629688747	-1.09490128291729	0.0442807249686019	0.0621025260231286	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000070000	Fcho1	74015	-0.701105960983585	5.10427838270835	2.28822683098443e-07	6.64983294037753e-07	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000070002	Ell	13716	0.621846145879118	5.51516178775353	1.1206069121339e-08	3.73212587651353e-08	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000070003	Ssbp4	76900	0.276129752971876	5.58394593442355	0.0309360226997756	0.0445839512520091	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000070025	Gm10284	100040634	-0.850544301314519	-0.481902780737002	0.0428300947635097	0.0602415305520222	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000070031	Sp140	434484	-1.14933244541475	2.5763083045094	1.98526846367534e-11	8.57658765718756e-11	TRUE	FALSE	TRUE	Down
