Geneid	GeneSymbol	Entrez	logFC_DTvsC	logCPM_DTvsC	PValue_DTvsC	PAdj_DTvsC	sig	up	down	sig_col
2310050C09Rik	2310050C09Rik	66533	-0.814428071612002	6.71283854990398	0.00019902765534624	0.000695448106419499	FALSE	FALSE	FALSE	NotSig
2310057M21Rik	2310057M21Rik	68277	-0.044467496788698	3.84122522898141	0.741670515988564	0.805431435948622	FALSE	FALSE	FALSE	NotSig
2310061I04Rik	2310061I04Rik	69662	-0.0569686921076928	3.33147221609774	0.673388119622035	0.751524423411938	FALSE	FALSE	FALSE	NotSig
2310061N02Rik	2310061N02Rik	69661	-3.00107063865863	7.40387343565804	0.0392062889624647	0.0721756660372234	FALSE	FALSE	FALSE	NotSig
2410002F23Rik	2410002F23Rik	668661	0.322344223075637	5.47690830009043	0.0052299392412126	0.0125486393990467	FALSE	FALSE	FALSE	NotSig
2410004B18Rik	2410004B18Rik	66421	-0.163388168779261	3.6059641956021	0.190269150557268	0.273634119664142	FALSE	FALSE	FALSE	NotSig
2410004P03Rik	2410004P03Rik	73667	0.299234452120406	1.11143872804679	0.230287085256947	0.319865936474978	FALSE	FALSE	FALSE	NotSig
2510002D24Rik	2510002D24Rik	72307	-0.0207989801811256	3.07136170424034	0.894263556759047	0.924282276366015	FALSE	FALSE	FALSE	NotSig
2510009E07Rik	2510009E07Rik	72190	-0.185523511514648	4.74787740821324	0.201707039906518	0.286994774382099	FALSE	FALSE	FALSE	NotSig
2510022D24Rik	2510022D24Rik	66567	-0.259076781407172	3.78369298712453	0.0541817649550253	0.0949525188537206	FALSE	FALSE	FALSE	NotSig
2510039O18Rik	2510039O18Rik	77034	0.195598020625722	6.04930261293514	0.0665838079868119	0.112551296167337	FALSE	FALSE	FALSE	NotSig
2610001J05Rik	2610001J05Rik	NA	0.210757390575769	5.16198588768618	0.0578669587185968	0.100343770828712	FALSE	FALSE	FALSE	NotSig
2610002M06Rik	2610002M06Rik	67028	0.0459275413019467	4.27523562018356	0.716960984136231	0.786238226073601	FALSE	FALSE	FALSE	NotSig
2610008E11Rik	2610008E11Rik	72128	-1.05585191477569	5.11428941463601	2.55798684112243e-11	3.39683248114315e-10	TRUE	FALSE	TRUE	Down
